TIME,TEMP,HUMIDITY
20160425015542,74.89,32.31
20160425015642,74.99,33.00
20160425015742,75.01,32.98
20160425015842,75.02,32.87
20160425015942,75.01,32.98
20160425020042,74.97,32.65
20160425020142,74.92,32.54
20160425020242,74.88,32.43
20160425020342,74.89,32.36
20160425020442,74.89,32.26
20160425020542,74.90,32.13
20160425020642,74.93,32.03
20160425020742,74.94,31.96
20160425020842,74.92,31.68
20160425020942,74.89,31.56
20160425021042,74.90,31.45
20160425021142,74.89,31.33
20160425021242,74.91,31.35
20160425021342,74.95,31.01
20160425021442,75.05,30.54
20160425021542,75.12,30.01
20160425021642,74.99,29.34
20160425021742,74.98,28.98
20160425021842,74.97,29.01
20160425021942,74.96,29.78
20160425022042,74.97,30.43
20160425022142,74.95,29.64
20160425022242,74.89,31.01
